,time,open,high,low,close
711,2018-04-29,685.9,696.71,666.04,687.51
712,2018-04-30,687.52,692.45,662.11,663.8
713,2018-05-01,663.8,675.01,627.2,670.09
714,2018-05-02,670.09,689.8,660.63,689.8
715,2018-05-03,689.5,780.0,684.0,778.47
716,2018-05-04,778.48,805.31,757.1,788.1
717,2018-05-05,788.1,824.67,778.5,808.13
718,2018-05-06,808.12,828.97,750.7,782.0
719,2018-05-07,782.0,789.98,695.11,740.49
720,2018-05-08,740.5,776.0,720.0,752.75
721,2018-05-09,752.76,759.5,708.8,749.96
722,2018-05-10,749.33,768.0,730.11,733.89
723,2018-05-11,733.85,735.19,662.18,678.74
724,2018-05-12,678.75,688.7,637.65,682.66
725,2018-05-13,682.3,740.31,671.0,734.73
726,2018-05-14,734.73,746.06,684.0,718.37
727,2018-05-15,718.37,738.0,694.75,700.85
728,2018-05-16,700.85,710.44,677.55,700.49
729,2018-05-17,700.72,717.17,661.0,671.76
730,2018-05-18,671.76,692.0,656.5,690.68
731,2018-05-19,690.68,715.76,676.84,691.0
732,2018-05-20,690.99,723.0,687.7,711.09
733,2018-05-21,711.1,717.0,686.05,698.0
734,2018-05-22,698.0,699.0,638.0,638.99
735,2018-05-23,639.0,648.46,563.27,582.41
736,2018-05-24,582.41,609.21,545.36,594.99
737,2018-05-25,594.98,616.0,568.27,572.81
738,2018-05-26,572.81,606.0,571.64,583.95
739,2018-05-27,583.95,589.5,556.0,568.99
740,2018-05-28,569.0,575.0,507.0,518.03
741,2018-05-29,518.04,573.64,510.59,558.6
742,2018-05-30,558.6,585.92,541.23,550.72
743,2018-05-31,550.71,589.0,549.98,572.32
744,2018-06-01,572.55,588.0,561.11,578.32
745,2018-06-02,578.31,600.0,571.75,592.02
746,2018-06-03,592.03,627.83,588.72,618.28
747,2018-06-04,618.29,626.55,576.15,592.95
748,2018-06-05,592.95,612.0,574.31,609.0
749,2018-06-06,609.0,611.69,592.63,606.05
750,2018-06-07,606.05,615.26,594.0,601.77
751,2018-06-08,601.76,607.0,591.0,602.01
752,2018-06-09,602.02,608.0,596.33,596.99
753,2018-06-10,596.98,598.74,505.0,507.64
754,2018-06-11,507.11,536.85,505.89,524.19
755,2018-06-12,524.12,538.99,485.33,490.99
756,2018-06-13,490.98,502.4,450.11,475.79
757,2018-06-14,475.79,530.0,459.45,517.13
758,2018-06-15,517.13,521.0,486.15,487.4
759,2018-06-16,487.4,502.97,481.57,499.99
760,2018-06-17,499.98,507.83,495.0,498.77
761,2018-06-18,498.76,525.0,488.0,516.99
762,2018-06-19,516.98,547.4,514.45,535.78
763,2018-06-20,535.78,541.8,516.67,534.99
764,2018-06-21,534.99,544.23,521.5,525.99
765,2018-06-22,525.98,525.98,449.02,464.48
766,2018-06-23,464.1,481.74,457.87,476.69
767,2018-06-24,476.69,477.61,421.1,454.66
768,2018-06-25,454.66,473.27,445.0,460.3
769,2018-06-26,460.31,462.0,434.03,438.01
770,2018-06-27,438.47,441.46,420.12,438.01
771,2018-06-28,438.01,446.21,423.77,426.28
772,2018-06-29,426.28,437.26,404.22,434.51
773,2018-06-30,434.51,462.49,433.5,447.25
774,2018-07-01,447.26,455.87,444.85,451.63
775,2018-07-02,451.64,481.99,442.79,478.47
776,2018-07-03,478.26,486.76,460.85,461.59
777,2018-07-04,461.51,482.01,451.35,466.53
778,2018-07-05,466.53,477.99,457.85,466.54
779,2018-07-06,466.54,474.99,451.68,466.96
780,2018-07-07,466.95,472.51,462.0,467.59
781,2018-07-08,467.6,494.74,467.59,489.53
782,2018-07-09,489.67,489.8,472.25,477.12
783,2018-07-10,477.54,478.32,427.88,437.7
784,2018-07-11,437.71,447.16,425.34,442.24
785,2018-07-12,442.29,448.54,423.33,424.42
786,2018-07-13,424.42,442.31,418.23,432.12
787,2018-07-14,432.05,440.0,428.13,433.95
788,2018-07-15,433.87,454.21,431.29,449.8
789,2018-07-16,449.81,479.92,444.05,474.4
790,2018-07-17,474.4,510.79,466.1,500.01
791,2018-07-18,500.3,515.88,468.85,479.19
792,2018-07-19,479.31,483.88,462.07,468.68
793,2018-07-20,468.68,470.64,441.0,449.44
794,2018-07-21,449.44,468.85,442.0,463.57
795,2018-07-22,463.57,471.74,455.0,457.25
796,2018-07-23,457.25,469.3,447.3,449.77
797,2018-07-24,449.76,483.92,445.66,475.99
798,2018-07-25,476.0,484.43,463.55,474.33
799,2018-07-26,474.32,483.88,461.02,462.24
800,2018-07-27,462.24,473.33,454.25,471.9
801,2018-07-28,471.91,472.44,461.25,467.15
802,2018-07-29,467.15,471.37,462.0,464.92
803,2018-07-30,464.91,469.2,446.0,455.36
804,2018-07-31,455.36,460.0,427.33,430.48
805,2018-08-01,430.49,435.48,407.78,420.3
806,2018-08-02,420.29,424.61,407.29,411.75
807,2018-08-03,411.61,420.27,395.0,417.15
808,2018-08-04,417.15,419.16,401.0,406.31
809,2018-08-05,406.31,413.33,400.5,410.01
810,2018-08-06,410.01,413.17,401.0,402.43
811,2018-08-07,402.43,410.0,369.1,380.78
812,2018-08-08,380.5,380.99,347.18,351.66
813,2018-08-09,351.66,371.09,350.45,369.57
814,2018-08-10,369.57,369.57,326.0,328.48
815,2018-08-11,328.48,332.0,305.14,328.61
816,2018-08-12,328.61,331.84,313.29,319.56
817,2018-08-13,319.56,322.27,281.41,283.13
818,2018-08-14,283.21,285.6,250.28,266.97
819,2018-08-15,266.97,305.4,266.22,286.43
820,2018-08-16,286.38,298.89,275.93,285.41
821,2018-08-17,285.41,319.0,284.46,316.67
822,2018-08-18,316.68,322.16,283.1,295.73
823,2018-08-19,295.73,307.65,289.33,301.54
824,2018-08-20,301.72,304.0,269.7,273.67
825,2018-08-21,273.66,286.42,268.02,280.4
826,2018-08-22,280.4,298.99,259.11,268.94
827,2018-08-23,268.95,280.39,268.5,275.24
828,2018-08-24,275.24,283.38,270.27,280.96
829,2018-08-25,280.96,283.0,276.99,279.26
830,2018-08-26,279.22,280.15,270.0,273.24
831,2018-08-27,273.25,280.6,271.32,280.47
832,2018-08-28,280.58,297.0,280.0,296.21
833,2018-08-29,296.14,297.64,284.11,290.67
834,2018-08-30,290.67,290.99,272.13,283.49
835,2018-08-31,283.5,284.81,276.66,282.43
836,2018-09-01,282.44,302.2,281.5,295.01
837,2018-09-02,295.02,298.72,288.42,292.96
838,2018-09-03,292.96,296.38,285.76,288.26
839,2018-09-04,288.25,292.11,282.1,285.27
840,2018-09-05,285.27,287.95,237.34,240.91
841,2018-09-06,240.9,242.42,211.0,226.39
842,2018-09-07,226.39,234.23,214.0,216.0
843,2018-09-08,215.92,220.0,190.0,195.12
844,2018-09-09,195.13,208.5,185.39,194.51
845,2018-09-10,194.51,202.7,186.59,195.17
846,2018-09-11,195.18,199.25,175.5,184.75
847,2018-09-12,184.83,185.35,167.0,182.76
848,2018-09-13,182.76,211.48,181.12,208.07
849,2018-09-14,208.02,224.3,202.5,215.86
850,2018-09-15,215.85,227.55,208.26,221.05
851,2018-09-16,221.21,223.43,208.01,219.64
852,2018-09-17,219.74,224.9,192.2,195.45
853,2018-09-18,195.45,214.87,194.05,210.91
854,2018-09-19,210.91,214.68,197.34,208.98
855,2018-09-20,208.98,224.0,206.64,223.96
856,2018-09-21,223.94,252.0,220.49,247.4
857,2018-09-22,247.4,255.0,232.67,239.6
858,2018-09-23,239.59,249.79,237.1,244.5
859,2018-09-24,244.49,245.79,227.11,228.37
860,2018-09-25,228.37,228.52,203.24,214.75
861,2018-09-26,214.76,222.43,207.23,214.49
862,2018-09-27,215.06,233.5,210.01,227.77
863,2018-09-28,227.77,234.59,215.0,220.39
864,2018-09-29,220.4,235.35,213.7,231.58
865,2018-09-30,231.58,238.69,225.5,233.14
866,2018-10-01,233.13,234.92,223.45,230.23
867,2018-10-02,230.23,231.08,221.44,226.27
868,2018-10-03,226.27,226.27,214.0,217.32
869,2018-10-04,217.32,225.66,217.31,221.33
870,2018-10-05,221.33,230.34,218.0,226.31
871,2018-10-06,226.42,227.51,222.32,223.68
872,2018-10-07,223.68,224.87,220.0,222.79
873,2018-10-08,222.8,231.1,222.25,227.71
874,2018-10-09,227.71,228.45,225.06,226.36
875,2018-10-10,226.37,226.7,221.52,222.76
876,2018-10-11,222.73,223.89,192.5,196.34
877,2018-10-12,196.34,198.5,184.81,193.92
878,2018-10-13,193.89,198.37,193.45,196.77
879,2018-10-14,196.76,199.41,193.31,194.56
880,2018-10-15,194.55,220.64,189.13,203.8
881,2018-10-16,203.81,207.97,202.1,204.3
882,2018-10-17,204.3,207.35,201.2,203.56
883,2018-10-18,203.56,205.56,195.15,198.33
884,2018-10-19,198.33,201.47,197.8,200.5
885,2018-10-20,200.5,204.66,199.31,202.86
886,2018-10-21,202.86,205.66,201.93,202.2
887,2018-10-22,202.21,203.0,198.75,201.16
888,2018-10-23,201.16,201.96,197.96,200.89
889,2018-10-24,200.89,202.47,200.38,200.77
890,2018-10-25,200.77,200.77,195.83,200.39
891,2018-10-26,200.39,204.35,198.64,200.48
892,2018-10-27,200.49,201.7,200.15,201.49
893,2018-10-28,201.49,202.76,201.0,202.09
894,2018-10-29,202.1,202.85,190.92,194.71
895,2018-10-30,194.71,196.41,192.6,195.46
896,2018-10-31,195.45,200.0,191.4,196.84
897,2018-11-01,196.84,198.63,196.2,197.77
898,2018-11-02,197.76,201.75,197.66,199.72
899,2018-11-03,199.72,200.0,197.51,198.53
900,2018-11-04,198.54,217.77,198.1,208.96
901,2018-11-05,208.95,211.2,205.38,208.32
902,2018-11-06,208.31,219.08,207.13,217.4
903,2018-11-07,217.48,222.78,215.56,216.8
904,2018-11-08,216.8,218.27,210.5,211.33
905,2018-11-09,211.33,212.2,206.2,207.78
906,2018-11-10,207.78,212.78,207.5,211.29
907,2018-11-11,211.3,211.3,206.15,207.94
908,2018-11-12,207.95,211.22,207.0,208.33
909,2018-11-13,208.36,208.91,202.76,203.91
910,2018-11-14,203.91,204.9,165.2,174.68
911,2018-11-15,174.7,181.0,165.33,175.11
912,2018-11-16,175.11,180.38,169.22,170.48
